iso3,gdp_per_capita,unemployment_rate,life_expectancy,literacy_rate,gini_index,cost_of_living_index,rent_index,groceries_index,restaurant_price_index,purchasing_power_index,safety_index,healthcare_index,traffic_index,pollution_index,visa_free_count,residency_difficulty,digital_nomad_visa,investor_visa,eu_member,schengen,ru_visa_free,ru_banking_access,ru_sanctions_risk,country
ALB,0.07530213592463433,0.3346455472551998,0.8395588732371435,0.8332763365973519,0.965217391304348,0.29302832244008714,0.2684283727399166,0.3060109289617487,0.29375,0.22162804515745696,0.5466867469879517,0.17372881355932202,0.3549883990719258,0.8671978751660026,0.4782608695652174,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,Albania
ARE,0.35984080166445015,0.06335823440066955,0.9495253570512288,0.9702766366121853,0.965217391304348,0.39542483660130723,0.49791376912378316,0.2863387978142076,0.42916666666666664,0.7017231134878195,0.9999999999999999,0.6546610169491527,0.3549883990719258,0.48472775564409026,0.9057971014492754,0.3333333333333333,1.0,1.0,0.0,0.0,1.0,0.75,0.0,United Arab Emirates
ARG,0.09426376663842576,0.21744521248566384,0.7649900428828007,0.8332763365973519,1.0,0.24400871459694987,0.22114047287899866,0.2502732240437159,0.3395833333333333,0.23291740938799763,0.25903614457831314,0.5911016949152543,0.5382830626450117,0.5126162018592297,0.8405797101449275,0.3333333333333333,1.0,1.0,0.0,0.0,1.0,0.5,0.0,Argentina
ARM,0.05466122270304905,0.3949350609094573,0.790920900986755,1.0,0.965217391304348,0.23965141612200433,0.2378303198887344,0.19562841530054648,0.26041666666666663,0.19667260843731432,0.878012048192771,0.4152542372881356,0.19953596287703024,0.6573705179282867,0.09420289855072467,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,Armenia
AUS,0.4646743015974199,0.12274882985648308,0.9489315952156978,0.8332763365973519,0.965217391304348,0.533769063180828,0.5605006954102922,0.6371584699453552,0.5239583333333333,0.7664884135472372,0.4954819277108433,0.6800847457627119,0.4153132250580047,0.2138114209827357,0.9492753623188406,0.6666666666666667,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Australia
AUT,0.41833032397317155,0.16899662130746104,0.9136642598542892,0.8332763365973519,0.965217391304348,0.5708061002178649,0.5326842837273993,0.5945355191256829,0.5854166666666667,0.6636957813428402,0.7816265060240962,0.8262711864406782,0.058004640371229765,0.11420982735723767,0.9855072463768115,0.6666666666666667,1.0,0.0,1.0,1.0,0.0,0.25,1.0,Austria
AZE,0.04535334242550215,0.16512197390037509,0.6659100072082207,1.0,0.965217391304348,0.12854030501089322,0.12378303198887344,0.1202185792349727,0.20833333333333331,0.19013666072489602,0.7349397590361445,0.19279661016949157,0.46171693735498853,0.799468791500664,0.2753623188405797,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,Azerbaijan
BEL,0.40622834289672544,0.17903970738662783,0.9238453612865667,0.8332763365973519,0.965217391304348,0.5413943355119825,0.5034770514603617,0.526775956284153,0.6812499999999999,0.6886512180629828,0.469879518072289,0.773305084745763,0.27842227378190265,0.4648074369189907,0.9855072463768115,0.6666666666666667,0.0,0.0,1.0,1.0,0.0,0.25,1.0,Belgium
BGD,0.011040841743514714,0.11307770992839654,0.677731487703267,0.5138798603486872,0.965217391304348,0.04248366013071897,0.019471488178025048,0.09398907103825138,0.02291666666666667,0.15626856803327394,0.2831325301204818,0.044491525423728806,0.8167053364269143,0.9774236387782205,0.9492753623188406,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,0.5,0.0,Bangladesh
BGR,0.12079119502963609,0.10557639254827812,0.705481097767082,0.8332763365973519,0.965217391304348,0.24727668845315906,0.2169680111265647,0.2666666666666667,0.284375,0.4503862150920974,0.6762048192771083,0.38983050847457634,0.18793503480278428,0.6746347941567066,0.8695652173913044,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,0.25,1.0,Bulgaria
BIH,0.0605323871006009,0.3380862341526922,0.7817204432444329,0.8332763365973519,0.965217391304348,0.21568627450980396,0.17524339360222532,0.22732240437158469,0.175,0.34818775995246587,0.5888554216867469,0.31144067796610186,0.12064965197215782,0.6387782204515271,0.9565217391304348,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,0.5,0.0,Bosnia and Herzegovina
BLR,0.05291590890172173,0.10074083258423486,0.6588752733625765,0.8332763365973519,0.965217391304348,0.12636165577342048,0.12656467315716277,0.1377049180327869,0.18749999999999994,0.33036244800950687,0.4804216867469878,0.2055084745762712,0.24593967517401405,0.4302788844621514,0.9528985507246377,0.3333333333333333,1.0,0.0,1.0,1.0,0.0,0.5,0.0,Belarus
BRA,0.06749492145868052,0.18102352685905584,0.7142311435820383,0.8312264090205663,1.0,0.12200435729847495,0.1126564673157163,0.12896174863387977,0.11145833333333333,0.22459893048128346,0.24698795180722888,0.4110169491525424,0.45707656612529,0.5444887118193891,0.8333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,1.0,0.5,0.0,Brazil
